#contigID	classification	ANI [%]	merged coverage [%]	number of hits	size[bp]
frag_8907_NZ_CP042219.1	negative	0	0	0	500
frag_3937_NZ_LR890710.1	negative	0	0	0	500
frag_2185_NZ_CP026692.1	negative	0	0	0	500
frag_1231_NC_007644.1	negative	0	0	0	500
frag_1295_NZ_LR595897.1	negative	0	0	0	500
frag_1740_NZ_CP062945.1	negative	0	0	0	500
frag_7027_NZ_CP050762.1	negative	0	0	0	500
frag_2947_NZ_CP041772.1	phage	5.014	5.4	1	500
frag_5566_NZ_CP012013.1	phage	4.608	4.8	1	500
frag_846_NZ_CP022022.1	negative	0	0	0	500
